customer_id,age,generation,gender
81,34,Millennial,Male
82,22,Gen Z,Female
83,38,Millennial,Male
84,36,Millennial,Male
85,31,Millennial,Male
86,57,Gen X,Male
87,47,Gen X,Male
88,35,Millennial,Male
89,38,Millennial,Male
90,22,Gen Z,Male
91,35,Millennial,Female
92,45,Gen X,Female
93,70,Boomer,Female
94,44,Gen X,Female
95,26,Gen Z,Female
96,33,Millennial,Male
97,67,Boomer,Male
98,31,Millennial,Female
99,58,Gen X,Male
100,26,Gen Z,Male
101,23,Gen Z,Male
102,35,Millennial,Male
103,41,Millennial,Male
104,35,Millennial,Female
105,39,Millennial,Male
106,40,Millennial,Female
107,50,Gen X,Male
108,26,Gen Z,Female
109,37,Millennial,Male
110,37,Millennial,Male
111,40,Millennial,Male
112,36,Millennial,Male
113,73,Boomer,Female
114,44,Gen X,Female
115,23,Gen Z,Female
116,57,Gen X,Male
117,38,Millennial,Female
118,39,Millennial,Female
119,29,Millennial,Male
120,29,Millennial,Female
121,37,Millennial,Female
122,29,Millennial,Female
123,60,Boomer,Female
124,40,Millennial,Male
125,42,Millennial,Male
126,39,Millennial,Female
127,42,Millennial,Male
128,24,Gen Z,Male
129,22,Gen Z,Male
130,31,Millennial,Male
131,25,Gen Z,Male
132,26,Gen Z,Male
133,25,Gen Z,Male
134,22,Gen Z,Male
135,42,Millennial,Male
136,56,Gen X,Male
137,36,Millennial,Male
138,22,Gen Z,Male
139,25,Gen Z,Male
140,29,Millennial,Female
141,30,Millennial,Male
142,35,Millennial,Female
143,37,Millennial,Male
144,31,Millennial,Female
145,34,Millennial,Male
146,46,Gen X,Male
147,39,Millennial,Male
148,70,Boomer,Female
149,58,Gen X,Female
150,28,Millennial,Male
151,38,Millennial,Male
152,30,Millennial,Male
153,30,Millennial,Male
154,24,Gen Z,Male
155,27,Millennial,Male
156,33,Millennial,Female
157,29,Millennial,Male
158,58,Gen X,Male
159,22,Gen Z,Male
160,42,Millennial,Male
161,31,Millennial,Female
162,26,Gen Z,Male
163,58,Gen X,Male
164,44,Gen X,Male
165,22,Gen Z,Male
166,42,Millennial,Female
167,43,Gen X,Female
168,23,Gen Z,Female
169,33,Millennial,Female
170,36,Millennial,Male
171,26,Gen Z,Male
172,26,Gen Z,Female
173,22,Gen Z,Male
174,55,Gen X,Male
175,30,Millennial,Male
176,21,Gen Z,Male
177,46,Gen X,Male
178,31,Millennial,Male
179,39,Millennial,Female
180,41,Millennial,Male
181,25,Gen Z,Male
182,27,Millennial,Female
183,41,Millennial,Male
184,73,Boomer,Female
185,31,Millennial,Female
186,23,Gen Z,Female
187,26,Gen Z,Male
188,26,Gen Z,Male
189,22,Gen Z,Female
190,39,Millennial,Female
191,62,Boomer,Female
192,37,Millennial,Male
193,21,Gen Z,Male
194,65,Boomer,Male
195,30,Millennial,Male
196,40,Millennial,Male
197,45,Gen X,Female
198,41,Millennial,Male
199,27,Millennial,Male
200,28,Millennial,Male
201,30,Millennial,Female
202,46,Gen X,Male
203,33,Millennial,Female
204,50,Gen X,Female
205,42,Millennial,Male
206,53,Gen X,Male
207,21,Gen Z,Male
208,25,Gen Z,Female
209,23,Gen Z,Male
210,39,Millennial,Female
211,47,Gen X,Female
212,44,Gen X,Male
213,35,Millennial,Male
214,30,Millennial,Male
215,55,Gen X,Male
216,26,Gen Z,Male
217,59,Boomer,Male
218,33,Millennial,Male
219,27,Millennial,Female
220,38,Millennial,Male
221,27,Millennial,Female
222,51,Gen X,Male
223,26,Gen Z,Male
224,35,Millennial,Male
225,50,Gen X,Male
226,48,Gen X,Male
227,26,Gen Z,Male
228,41,Millennial,Male
229,41,Millennial,Male
230,36,Millennial,Female
231,35,Millennial,Male
232,40,Millennial,Male
233,42,Millennial,Female
234,45,Gen X,Female
235,29,Millennial,Male
236,41,Millennial,Male
237,21,Gen Z,Female
238,44,Gen X,Female
239,32,Millennial,Male
240,44,Gen X,Male
241,30,Millennial,Male
242,23,Gen Z,Female
243,30,Millennial,Female
244,42,Millennial,Male
245,55,Gen X,Female
246,33,Millennial,Female
247,41,Millennial,Female
248,36,Millennial,Male
249,60,Boomer,Female
250,42,Millennial,Male
251,21,Gen Z,Female
252,37,Millennial,Male
253,24,Gen Z,Male
254,29,Millennial,Male
255,35,Millennial,Male
256,33,Millennial,Male
257,39,Millennial,Male
258,40,Millennial,Female
259,34,Millennial,Female
260,57,Gen X,Male
261,32,Millennial,Female
262,44,Gen X,Male
263,62,Boomer,Male
264,66,Boomer,Male
265,34,Millennial,Female
266,39,Millennial,Female
267,43,Gen X,Female
268,36,Millennial,Male
269,22,Gen Z,Male
270,35,Millennial,Male
271,69,Boomer,Female
272,24,Gen Z,Female
273,56,Gen X,Male
274,38,Millennial,Male
275,31,Millennial,Male
276,34,Millennial,Female
277,34,Millennial,Male
278,33,Millennial,Male
279,74,Boomer,Male
280,51,Gen X,Female
281,44,Gen X,Female
282,23,Gen Z,Male
283,31,Millennial,Male
284,27,Millennial,Male
285,36,Millennial,Male
286,35,Millennial,Male
287,24,Gen Z,Female
288,24,Gen Z,Male
289,54,Gen X,Female
290,42,Millennial,Female
291,40,Millennial,Female
292,32,Millennial,Male
293,44,Gen X,Male
294,22,Gen Z,Male
295,57,Gen X,Male
296,47,Gen X,Female
297,23,Gen Z,Male
298,32,Millennial,Male
299,37,Millennial,Female
300,30,Millennial,Male
301,52,Gen X,Female
302,45,Gen X,Male
303,44,Gen X,Male
304,41,Millennial,Female
305,30,Millennial,Female
306,26,Gen Z,Male
307,30,Millennial,Male
308,40,Millennial,Male
309,54,Gen X,Female
310,56,Gen X,Female
311,29,Millennial,Male
312,21,Gen Z,Male
313,25,Gen Z,Female
314,35,Millennial,Male
315,30,Millennial,Male
316,37,Millennial,Female
317,23,Gen Z,Male
318,33,Millennial,Male
319,33,Millennial,Female
320,45,Gen X,Male
321,29,Millennial,Male
322,40,Millennial,Female
323,36,Millennial,Male
324,44,Gen X,Male
325,30,Millennial,Male
326,37,Millennial,Male
327,22,Gen Z,Male
328,53,Gen X,Male
329,23,Gen Z,Female
330,24,Gen Z,Female
331,40,Millennial,Female
332,39,Millennial,Male
333,47,Gen X,Male
334,26,Gen Z,Female
335,68,Boomer,Female
336,69,Boomer,Male
337,72,Boomer,Female
338,39,Millennial,Male
339,40,Millennial,Male
340,35,Millennial,Male
341,54,Gen X,Male
342,32,Millennial,Male
343,35,Millennial,Male
344,34,Millennial,Male
345,29,Millennial,Male
346,74,Boomer,Female
347,23,Gen Z,Male
348,58,Gen X,Male
349,41,Millennial,Male
350,24,Gen Z,Male
351,56,Gen X,Male
352,32,Millennial,Female
353,44,Gen X,Male
354,34,Millennial,Female
355,37,Millennial,Male
356,36,Millennial,Male
357,41,Millennial,Female
358,44,Gen X,Male
359,26,Gen Z,Male
360,51,Gen X,Female
361,30,Millennial,Male
362,21,Gen Z,Female
363,35,Millennial,Male
364,24,Gen Z,Male
365,21,Gen Z,Female
366,34,Millennial,Male
367,34,Millennial,Male
368,36,Millennial,Male
369,21,Gen Z,Male
370,24,Gen Z,Male
371,37,Millennial,Female
372,65,Boomer,Male
373,33,Millennial,Male
374,74,Boomer,Female
375,67,Boomer,Female
376,74,Boomer,Male
377,50,Gen X,Female
378,39,Millennial,Male
379,27,Millennial,Female
380,54,Gen X,Male
381,54,Gen X,Male
382,26,Gen Z,Male
383,27,Millennial,Female
384,64,Boomer,Female
385,42,Millennial,Male
386,39,Millennial,Female
387,35,Millennial,Male
388,22,Gen Z,Male
389,24,Gen Z,Male
390,43,Gen X,Male
391,24,Gen Z,Male
392,37,Millennial,Female
393,42,Millennial,Male
394,40,Millennial,Male
395,46,Gen X,Female
396,33,Millennial,Male
397,27,Millennial,Female
398,34,Millennial,Male
399,34,Millennial,Female
400,29,Millennial,Female
401,24,Gen Z,Male
402,29,Millennial,Male
403,28,Millennial,Male
404,22,Gen Z,Male
405,34,Millennial,Male
406,23,Gen Z,Male
407,38,Millennial,Female
408,25,Gen Z,Female
409,42,Millennial,Male
410,53,Gen X,Female
411,24,Gen Z,Female
412,27,Millennial,Male
413,27,Millennial,Male
414,22,Gen Z,Female
415,58,Gen X,Male
416,58,Gen X,Male
417,37,Millennial,Male
418,25,Gen Z,Male
419,41,Millennial,Male
420,28,Millennial,Male
421,39,Millennial,Female
422,26,Gen Z,Male
423,21,Gen Z,Female
424,27,Millennial,Male
425,26,Gen Z,Female
426,50,Gen X,Male
427,34,Millennial,Female
428,22,Gen Z,Female
429,32,Millennial,Female
430,37,Millennial,Female
431,64,Boomer,Female
432,37,Millennial,Female
433,46,Gen X,Female
434,45,Gen X,Male
435,32,Millennial,Male
436,32,Millennial,Female
437,38,Millennial,Male
438,36,Millennial,Female
439,36,Millennial,Male
440,38,Millennial,Male
441,24,Gen Z,Male
442,29,Millennial,Female
443,34,Millennial,Male
444,23,Gen Z,Male
445,32,Millennial,Male
446,69,Boomer,Male
447,24,Gen Z,Female
448,37,Millennial,Male
449,21,Gen Z,Male
450,25,Gen Z,Female
451,42,Millennial,Male
452,32,Millennial,Male
453,28,Millennial,Male
454,37,Millennial,Female
455,42,Millennial,Male
456,38,Millennial,Male
457,69,Boomer,Female
458,39,Millennial,Female
459,35,Millennial,Male
460,34,Millennial,Male
461,32,Millennial,Male
462,21,Gen Z,Female
463,64,Boomer,Female
464,28,Millennial,Female
465,30,Millennial,Male
466,50,Gen X,Female
467,30,Millennial,Male
468,28,Millennial,Male
469,35,Millennial,Male
470,62,Boomer,Male
471,35,Millennial,Female
472,31,Millennial,Male
473,39,Millennial,Male
474,36,Millennial,Male
475,52,Gen X,Male
476,28,Millennial,Female
477,53,Gen X,Male
478,31,Millennial,Female
479,70,Boomer,Female
480,44,Gen X,Male
481,55,Gen X,Male
482,35,Millennial,Male
483,39,Millennial,Female
484,23,Gen Z,Male
485,24,Gen Z,Male
486,35,Millennial,Male
487,21,Gen Z,Male
488,41,Millennial,Male
489,39,Millennial,Male
490,25,Gen Z,Male
491,41,Millennial,Female
492,21,Gen Z,Male
493,23,Gen Z,Male
494,23,Gen Z,Male
495,47,Gen X,Male
496,29,Millennial,Male
497,53,Gen X,Female
498,41,Millennial,Male
499,30,Millennial,Male
500,30,Millennial,Male
501,54,Gen X,Male
502,40,Millennial,Male
503,40,Millennial,Female
504,34,Millennial,Female
505,26,Gen Z,Male
506,68,Boomer,Male
507,52,Gen X,Male
508,53,Gen X,Male
509,40,Millennial,Male
510,39,Millennial,Female
511,41,Millennial,Female
512,35,Millennial,Female
513,35,Millennial,Female
514,68,Boomer,Male
515,30,Millennial,Female
516,39,Millennial,Female
517,44,Gen X,Male
518,22,Gen Z,Female
519,25,Gen Z,Male
520,49,Gen X,Female
521,38,Millennial,Male
522,33,Millennial,Male
523,58,Gen X,Male
524,28,Millennial,Female
525,21,Gen Z,Male
526,32,Millennial,Male
527,26,Gen Z,Male
528,68,Boomer,Male
529,38,Millennial,Male
530,27,Millennial,Female
531,54,Gen X,Male
532,55,Gen X,Male
533,41,Millennial,Female
534,37,Millennial,Female
535,33,Millennial,Female
536,48,Gen X,Male
537,29,Millennial,Male
538,26,Gen Z,Female
539,34,Millennial,Male
540,69,Boomer,Male
541,50,Gen X,Female
542,41,Millennial,Male
543,26,Gen Z,Male
544,56,Gen X,Male
545,51,Gen X,Male
546,31,Millennial,Female
547,21,Gen Z,Male
548,41,Millennial,Male
549,23,Gen Z,Female
550,30,Millennial,Male
551,60,Boomer,Male
552,43,Gen X,Male
553,28,Millennial,Female
554,33,Millennial,Male
555,36,Millennial,Female
556,52,Gen X,Female
557,32,Millennial,Male
558,28,Millennial,Female
559,32,Millennial,Male
560,39,Millennial,Male
561,40,Millennial,Male
562,60,Boomer,Male
563,39,Millennial,Male
564,25,Gen Z,Male
565,28,Millennial,Male
566,22,Gen Z,Male
567,43,Gen X,Male
568,27,Millennial,Male
569,26,Gen Z,Male
570,21,Gen Z,Female
571,58,Gen X,Male
572,29,Millennial,Male
573,41,Millennial,Male
574,36,Millennial,Female
575,41,Millennial,Male
576,51,Gen X,Female
577,46,Gen X,Male
578,25,Gen Z,Female
579,39,Millennial,Male
580,29,Millennial,Female
581,51,Gen X,Male
582,26,Gen Z,Male
583,46,Gen X,Male
584,26,Gen Z,Female
585,36,Millennial,Male
586,33,Millennial,Female
587,29,Millennial,Female
588,35,Millennial,Male
589,37,Millennial,Female
590,60,Boomer,Female
591,40,Millennial,Female
592,35,Millennial,Male
593,24,Gen Z,Female
594,41,Millennial,Male
595,50,Gen X,Male
596,42,Millennial,Male
597,49,Gen X,Male
598,36,Millennial,Male
599,36,Millennial,Male
600,61,Boomer,Male
601,24,Gen Z,Female
602,28,Millennial,Male
603,24,Gen Z,Female
604,36,Millennial,Female
605,30,Millennial,Male
606,33,Millennial,Male
607,35,Millennial,Male
608,28,Millennial,Female
609,22,Gen Z,Male
610,51,Gen X,Female
611,24,Gen Z,Female
612,40,Millennial,Female
613,38,Millennial,Male
614,66,Boomer,Female
615,56,Gen X,Male
616,35,Millennial,Male
617,22,Gen Z,Male
618,39,Millennial,Male
619,25,Gen Z,Male
620,39,Millennial,Male
621,23,Gen Z,Male
622,24,Gen Z,Male
623,48,Gen X,Male
624,25,Gen Z,Male
625,23,Gen Z,Male
626,21,Gen Z,Male
627,27,Millennial,Female
628,42,Millennial,Male
629,25,Gen Z,Female
630,25,Gen Z,Male
631,39,Millennial,Female
632,50,Gen X,Female
633,73,Boomer,Male
634,43,Gen X,Female
635,74,Boomer,Male
636,23,Gen Z,Female
637,22,Gen Z,Male
638,22,Gen Z,Male
639,22,Gen Z,Male
640,22,Gen Z,Female
641,35,Millennial,Male
642,29,Millennial,Male
643,25,Gen Z,Female
644,25,Gen Z,Male
645,25,Gen Z,Male
646,54,Gen X,Male
647,42,Millennial,Male
648,25,Gen Z,Male
649,55,Gen X,Female
650,49,Gen X,Male
651,26,Gen Z,Female
652,32,Millennial,Male
653,52,Gen X,Male
654,26,Gen Z,Female
655,23,Gen Z,Female
656,37,Millennial,Male
657,67,Boomer,Male
658,25,Gen Z,Female
659,22,Gen Z,Male
660,51,Gen X,Male
661,37,Millennial,Male
662,24,Gen Z,Male
663,24,Gen Z,Male
664,27,Millennial,Male
665,60,Boomer,Male
666,25,Gen Z,Female
667,21,Gen Z,Male
668,36,Millennial,Male
669,26,Gen Z,Male
670,56,Gen X,Male
671,52,Gen X,Female
672,49,Gen X,Male
673,21,Gen Z,Male
674,25,Gen Z,Male
675,39,Millennial,Male
676,24,Gen Z,Male
677,25,Gen Z,Male
678,45,Gen X,Female
679,24,Gen Z,Female
680,31,Millennial,Male
681,41,Millennial,Female
682,37,Millennial,Female
683,55,Gen X,Male
684,39,Millennial,Male
685,25,Gen Z,Male
686,71,Boomer,Male
687,46,Gen X,Female
688,32,Millennial,Male
689,21,Gen Z,Male
690,22,Gen Z,Male
691,50,Gen X,Male
692,23,Gen Z,Male
693,27,Millennial,Male
694,22,Gen Z,Female
695,23,Gen Z,Male
696,27,Millennial,Female
697,27,Millennial,Male
698,25,Gen Z,Female
699,25,Gen Z,Male
700,42,Millennial,Male
701,30,Millennial,Female
702,41,Millennial,Female
703,24,Gen Z,Male
704,22,Gen Z,Male
705,30,Millennial,Male
706,57,Gen X,Male
707,24,Gen Z,Male
708,39,Millennial,Male
709,52,Gen X,Female
710,21,Gen Z,Female
711,37,Millennial,Male
712,34,Millennial,Male
713,31,Millennial,Male
714,30,Millennial,Male
715,57,Gen X,Male
716,28,Millennial,Male
717,28,Millennial,Female
718,36,Millennial,Male
719,39,Millennial,Female
720,21,Gen Z,Male
721,27,Millennial,Female
722,42,Millennial,Female
723,51,Gen X,Female
724,35,Millennial,Male
725,24,Gen Z,Male
726,32,Millennial,Male
727,25,Gen Z,Female
728,41,Millennial,Male
729,47,Gen X,Male
730,40,Millennial,Male
731,21,Gen Z,Male
732,23,Gen Z,Male
733,55,Gen X,Male
734,23,Gen Z,Female
735,53,Gen X,Male
736,33,Millennial,Male
737,31,Millennial,Male
738,41,Millennial,Male
739,29,Millennial,Female
740,30,Millennial,Male
741,29,Millennial,Male
742,27,Millennial,Male
743,51,Gen X,Male
744,34,Millennial,Female
745,24,Gen Z,Female
746,44,Gen X,Male
747,34,Millennial,Male
748,21,Gen Z,Male
749,30,Millennial,Male
750,63,Boomer,Male
751,28,Millennial,Male
752,28,Millennial,Male
753,44,Gen X,Male
754,40,Millennial,Male
755,71,Boomer,Male
756,27,Millennial,Male
757,44,Gen X,Male
758,23,Gen Z,Female
759,47,Gen X,Male
760,34,Millennial,Female
761,40,Millennial,Male
762,23,Gen Z,Female
763,22,Gen Z,Male
764,24,Gen Z,Male
765,51,Gen X,Male
766,26,Gen Z,Female
767,26,Gen Z,Male
768,34,Millennial,Male
769,33,Millennial,Male
770,25,Gen Z,Male
771,53,Gen X,Male
772,50,Gen X,Female
773,38,Millennial,Male
774,26,Gen Z,Male
775,42,Millennial,Female
776,39,Millennial,Male
777,74,Boomer,Female
778,42,Millennial,Female
779,38,Millennial,Male
780,33,Millennial,Male
781,35,Millennial,Male
782,37,Millennial,Female
783,65,Boomer,Female
784,36,Millennial,Male
785,36,Millennial,Female
786,27,Millennial,Female
787,21,Gen Z,Female
788,27,Millennial,Male
789,36,Millennial,Female
790,56,Gen X,Male
791,28,Millennial,Female
792,26,Gen Z,Female
793,48,Gen X,Female
794,29,Millennial,Female
795,33,Millennial,Male
796,42,Millennial,Female
797,29,Millennial,Male
798,64,Boomer,Male
799,52,Gen X,Male
800,35,Millennial,Male
801,74,Boomer,Male
802,51,Gen X,Male
803,70,Boomer,Male
804,36,Millennial,Male
805,34,Millennial,Female
806,38,Millennial,Male
807,27,Millennial,Female
808,39,Millennial,Male
809,41,Millennial,Male
810,45,Gen X,Male
811,51,Gen X,Male
812,52,Gen X,Male
813,45,Gen X,Male
814,42,Millennial,Female
815,49,Gen X,Male
816,46,Gen X,Male
817,34,Millennial,Male
818,36,Millennial,Female
819,32,Millennial,Male
820,40,Millennial,Female
821,21,Gen Z,Female
822,48,Gen X,Male
823,27,Millennial,Male
824,26,Gen Z,Male
825,42,Millennial,Male
826,46,Gen X,Male
827,31,Millennial,Female
828,23,Gen Z,Female
829,39,Millennial,Female
830,32,Millennial,Female
831,46,Gen X,Male
832,42,Millennial,Male
833,38,Millennial,Female
834,33,Millennial,Female
835,74,Boomer,Male
836,58,Gen X,Female
837,26,Gen Z,Female
838,58,Gen X,Male
839,22,Gen Z,Male
840,23,Gen Z,Male
841,23,Gen Z,Female
842,34,Millennial,Male
843,69,Boomer,Male
844,28,Millennial,Male
845,44,Gen X,Male
846,24,Gen Z,Male
847,57,Gen X,Female
848,45,Gen X,Male
849,23,Gen Z,Male
850,29,Millennial,Female
851,34,Millennial,Male
852,42,Millennial,Male
853,46,Gen X,Male
854,30,Millennial,Female
855,32,Millennial,Male
856,52,Gen X,Female
857,38,Millennial,Male
858,33,Millennial,Female
859,26,Gen Z,Female
860,46,Gen X,Female
861,37,Millennial,Female
862,21,Gen Z,Male
863,34,Millennial,Male
864,41,Millennial,Male
865,53,Gen X,Female
866,35,Millennial,Female
867,32,Millennial,Male
868,33,Millennial,Male
869,41,Millennial,Female
870,30,Millennial,Male
871,42,Millennial,Female
872,31,Millennial,Male
873,31,Millennial,Male
874,51,Gen X,Female
875,29,Millennial,Male
876,22,Gen Z,Male
877,32,Millennial,Male
878,65,Boomer,Female
879,32,Millennial,Male
880,25,Gen Z,Male
881,33,Millennial,Female
882,38,Millennial,Male
883,32,Millennial,Male
884,26,Gen Z,Male
885,36,Millennial,Female
886,24,Gen Z,Female
887,24,Gen Z,Male
888,25,Gen Z,Male
889,26,Gen Z,Male
890,25,Gen Z,Male
891,69,Boomer,Male
892,34,Millennial,Female
893,35,Millennial,Female
894,38,Millennial,Female
895,52,Gen X,Male
896,30,Millennial,Male
897,26,Gen Z,Male
898,34,Millennial,Male
899,26,Gen Z,Male
900,25,Gen Z,Male
901,45,Gen X,Male
902,53,Gen X,Male
903,40,Millennial,Male
904,30,Millennial,Male
905,33,Millennial,Female
906,34,Millennial,Male
907,22,Gen Z,Female
908,36,Millennial,Male
909,23,Gen Z,Male
910,41,Millennial,Male
911,21,Gen Z,Male
912,51,Gen X,Male
913,37,Millennial,Male
914,66,Boomer,Female
915,26,Gen Z,Male
916,39,Millennial,Female
917,24,Gen Z,Female
918,22,Gen Z,Male
919,22,Gen Z,Male
920,37,Millennial,Male
921,35,Millennial,Male
922,40,Millennial,Male
923,26,Gen Z,Female
924,48,Gen X,Female
925,34,Millennial,Male
926,31,Millennial,Male
927,55,Gen X,Female
928,37,Millennial,Male
929,54,Gen X,Male
930,39,Millennial,Female
931,34,Millennial,Male
932,35,Millennial,Male
933,31,Millennial,Female
934,31,Millennial,Male
935,57,Gen X,Male
936,28,Millennial,Female
937,66,Boomer,Female
938,25,Gen Z,Female
939,44,Gen X,Female
940,21,Gen Z,Male
941,58,Gen X,Male
942,24,Gen Z,Male
943,41,Millennial,Male
944,21,Gen Z,Male
945,24,Gen Z,Male
946,28,Millennial,Male
947,23,Gen Z,Male
948,52,Gen X,Male
949,51,Gen X,Male
950,47,Gen X,Male
951,64,Boomer,Male
952,37,Millennial,Male
953,41,Millennial,Male
954,61,Boomer,Male
955,63,Boomer,Male
956,24,Gen Z,Male
957,46,Gen X,Male
958,39,Millennial,Male
959,21,Gen Z,Male
960,43,Gen X,Male
961,56,Gen X,Male
962,46,Gen X,Female
963,39,Millennial,Male
964,24,Gen Z,Female
965,62,Boomer,Female
966,56,Gen X,Male
967,33,Millennial,Male
968,31,Millennial,Male
969,38,Millennial,Male
970,39,Millennial,Male
971,34,Millennial,Female
972,21,Gen Z,Female
973,24,Gen Z,Male
974,30,Millennial,Male
975,37,Millennial,Female
976,37,Millennial,Female
977,57,Gen X,Female
978,41,Millennial,Female
979,43,Gen X,Female
980,47,Gen X,Female
981,49,Gen X,Male
982,33,Millennial,Male
983,29,Millennial,Male
984,35,Millennial,Female
985,34,Millennial,Male
986,36,Millennial,Female
987,37,Millennial,Female
988,35,Millennial,Male
989,29,Millennial,Male
990,33,Millennial,Male
991,24,Gen Z,Female
992,30,Millennial,Male
993,27,Millennial,Male
994,53,Gen X,Male
995,28,Millennial,Female
996,29,Millennial,Male
997,22,Gen Z,Male
998,46,Gen X,Male
999,33,Millennial,Female
1000,32,Millennial,Male
1001,49,Gen X,Female
1002,32,Millennial,Male
1003,36,Millennial,Male
1004,37,Millennial,Male
1005,57,Gen X,Male
1006,37,Millennial,Female
1007,25,Gen Z,Male
1008,24,Gen Z,Male
1009,53,Gen X,Female
1010,42,Millennial,Female
1011,24,Gen Z,Male
1012,57,Gen X,Male
1013,31,Millennial,Female
1014,26,Gen Z,Male
1015,36,Millennial,Male
1016,21,Gen Z,Male
1017,25,Gen Z,Female
1018,23,Gen Z,Male
1019,62,Boomer,Male
1020,33,Millennial,Male
1021,38,Millennial,Male
1022,49,Gen X,Female
1023,21,Gen Z,Male
1024,23,Gen Z,Male
1025,31,Millennial,Male
1026,62,Boomer,Female
1027,38,Millennial,Male
1028,69,Boomer,Male
1029,30,Millennial,Male
1030,50,Gen X,Male
1031,24,Gen Z,Male
1032,40,Millennial,Female
1033,45,Gen X,Male
1034,35,Millennial,Female
1035,25,Gen Z,Male
1036,21,Gen Z,Male
1037,55,Gen X,Male
1038,53,Gen X,Male
1039,24,Gen Z,Male
1040,38,Millennial,Male
1041,41,Millennial,Male
1042,21,Gen Z,Male
1043,58,Gen X,Male
1044,32,Millennial,Female
1045,43,Gen X,Male
1046,30,Millennial,Male
1047,32,Millennial,Male
1048,31,Millennial,Male
1049,38,Millennial,Male
1050,28,Millennial,Male
1051,35,Millennial,Male
1052,37,Millennial,Male
1053,50,Gen X,Male
1054,30,Millennial,Male
1055,58,Gen X,Male
1056,47,Gen X,Male
1057,22,Gen Z,Male
1058,74,Boomer,Female
1059,36,Millennial,Male
1060,67,Boomer,Male
1061,32,Millennial,Male
1062,25,Gen Z,Female
1063,45,Gen X,Male
1064,23,Gen Z,Male
1065,35,Millennial,Female
1066,47,Gen X,Female
1067,30,Millennial,Male
1068,44,Gen X,Female
1069,34,Millennial,Female
1070,29,Millennial,Male
1071,31,Millennial,Male
1072,42,Millennial,Male
1073,27,Millennial,Male
1074,29,Millennial,Male
1075,47,Gen X,Male
1076,23,Gen Z,Female
1077,28,Millennial,Male
1078,29,Millennial,Female
1079,42,Millennial,Male
1080,29,Millennial,Male
1081,62,Boomer,Female
1082,53,Gen X,Male
1083,41,Millennial,Male
1084,27,Millennial,Male
1085,26,Gen Z,Female
1086,22,Gen Z,Male
1087,38,Millennial,Male
1088,34,Millennial,Male
1089,70,Boomer,Male
1090,26,Gen Z,Male
1091,22,Gen Z,Male
1092,26,Gen Z,Female
1093,25,Gen Z,Male
1094,36,Millennial,Female
1095,55,Gen X,Male
1096,26,Gen Z,Male
1097,40,Millennial,Male
1098,23,Gen Z,Female
1099,31,Millennial,Male
1100,35,Millennial,Male
1101,28,Millennial,Male
1102,24,Gen Z,Female
1103,22,Gen Z,Male
1104,27,Millennial,Male
1105,47,Gen X,Male
1106,35,Millennial,Male
1107,23,Gen Z,Male
1108,30,Millennial,Female
1109,27,Millennial,Male
1110,41,Millennial,Male
1111,22,Gen Z,Male
1112,22,Gen Z,Female
1113,42,Millennial,Female
1114,56,Gen X,Male
1115,27,Millennial,Male
1116,68,Boomer,Male
1117,42,Millennial,Male
1118,24,Gen Z,Male
1119,59,Boomer,Male
1120,31,Millennial,Male
1121,25,Gen Z,Female
1122,36,Millennial,Male
1123,23,Gen Z,Male
1124,56,Gen X,Male
1125,44,Gen X,Male
1126,27,Millennial,Male
1127,40,Millennial,Female
1128,24,Gen Z,Female
1129,34,Millennial,Male
1130,38,Millennial,Male
